Site,Site2,Transect,Quadrat,Litbag,Lit,LitNum,Teabag,Tea,TeaNum,Julday1,Julday2,Julday3,Temp1,Temp2,Temp3,Moist1,Moist2,Moist3,VolMoist1,VolMoist2,VolMoist3,SOM,percNsoil,percCsoil,NOxinit,NH4init,Nitrif,Nmin,WHC,pH,TpH,Cmin1,Cmin2,Cmin,SIR,LitSIR,IncTime,TeaLoss,LitLoss,STeaLoss,SLitLoss,LitMoist,mLitMoist,LitlCloss,SLitCloss,LitNmin,SLitNmin,LitInitCN,LitFinCN,LitinitN,TeainitN
Uppsala,2,8,52,52,Hol,1,388,Green,1,128,174,226,11.1,14.1,16.9,29.59,22.09,11.41,NA,NA,NA,6.17,0.26,3.22,48.04,8.27,1.012,-0.476,52.83,5.5,3.162,0.31,0.3,0.31,1.35,166.07,98,57.79,40.24,53.08,36.96,14.9,15.5,41.08,37.72,0.807,0.823,24.65,17.81,1.86,4.11
Uppsala,2,8,53,53,Hol,1,389,Green,1,128,174,226,10.2,13.4,16.8,32.26,29.55,19.59,NA,NA,NA,7.62,0.26,3.28,29.67,1.13,-0.057,-0.051,48,5.92,1.202,0.56,0.59,0.58,1.72,137.33,98,67.48,47.19,61.97,43.34,13.7,12.2,50.5,46.38,0.689,0.715,24.65,17.52,1.63,3.99
Uppsala,2,8,54,54,Hol,1,390,Green,1,128,174,226,12.6,13.2,16.6,27.69,28.38,15.63,NA,NA,NA,7.49,0.26,3.51,0.8,0,-0.02,0.009,55.38,6.22,0.603,0.78,0.82,0.8,2.32,179.36,98,57.93,55.52,53.2,50.99,16.6,15.5,55.64,51.1,0.598,0.631,24.65,18.09,1.84,4.3
Uppsala,2,8,55,55,Hol,1,391,Green,1,128,174,226,10,13.5,15.4,30.59,24.02,15.92,NA,NA,NA,7.12,0.29,3.62,0.11,0,-0.004,0,61.72,5.93,1.175,NA,NA,NA,1.67,165.93,98,62.25,45.16,57.17,41.47,18.1,16.4,49.52,45.48,0.651,0.679,24.65,18.91,1.78,4.01
Uppsala,2,8,56,56,Hol,1,392,Green,1,128,174,226,9.8,13.4,14.6,27.77,24.96,19.15,NA,NA,NA,6.33,0.32,3.51,10.86,0.4,0.552,0.002,39.86,5.8,1.585,NA,NA,NA,1.67,158.22,98,61.72,50.04,56.68,45.95,38.5,29.6,52.5,48.21,0.649,0.678,24.65,17.84,1.57,4.21
Copenhag,3,9,57,57,Hol,1,393,Green,1,136,171,237,12.3,21.5,17.9,22.34,19.52,12.53,NA,NA,NA,4.61,0.4,4.14,26.93,2.74,0.721,-0.153,50.85,6.13,0.741,0.4,0.42,0.41,1.33,123,101,61.7,45.87,54.98,40.88,85.6,71.2,48.93,43.6,0.777,0.801,24.65,16.04,1.59,4.2
Copenhag,3,9,58,58,Hol,1,394,Green,1,136,171,237,13,20.7,19.6,19.77,22.35,16.87,NA,NA,NA,3.75,0.42,4.64,18.23,1.34,0.525,-0.072,39.9,5.73,1.862,0.26,0.27,0.27,1.06,138.33,101,64.73,31.74,57.68,28.28,80.2,75,35.51,31.64,0.726,0.756,24.65,21.67,1.98,4.18
Copenhag,3,9,59,59,Hol,1,395,Green,1,136,171,237,12.5,18.7,17.8,15.32,14.54,16.1,NA,NA,NA,3.46,0.17,2.03,15.16,2.53,1.266,-0.131,38.39,5.66,2.188,0.31,0.33,0.32,1.2,122.87,101,61.23,48.57,54.56,43.28,81.9,77,51.86,46.21,0.668,0.705,24.65,17.57,1.83,3.87
Copenhag,3,9,60,60,Hol,1,396,Green,1,136,171,237,12.9,18.4,17.9,19.07,17.61,12.37,NA,NA,NA,4,0.41,4.63,1.41,2.79,0.656,0.71,42.2,5.02,9.55,0.28,0.3,0.29,1.16,107.8,101,77.75,44.59,69.28,39.74,83,74.9,54.07,48.18,0.729,0.759,24.65,15.36,1.87,3.85
Copenhag,3,9,61,61,Hol,1,397,Green,1,136,171,237,14,20.2,18.4,18.18,19.86,16.6,NA,NA,NA,3.98,0.19,2.22,0,0,1.563,0.325,45.08,4.53,29.512,0.23,0.25,0.24,0.9,137.68,101,59.56,50,53.07,44.55,79.4,73.8,53.21,47.42,0.717,0.748,24.65,15.91,1.93,4.26
Copenhag,3,9,62,62,Hol,1,398,Green,1,136,171,237,14,20.3,19,18.28,14.99,22.13,NA,NA,NA,3.71,0.19,2.12,10.41,4.66,1.638,-0.166,48.84,5.29,5.129,0.3,0.31,0.3,1,151.81,101,51.25,32.08,45.67,28.59,81.5,75.4,37.84,33.72,0.791,0.814,24.65,19.17,1.83,4.31
Copenhag,3,9,63,63,Hol,1,399,Green,1,136,171,237,13.5,19.3,18.4,19.88,17.63,17.7,NA,NA,NA,4.46,0.3,3.23,0,0,2.736,0.604,44.41,5.06,8.71,0.3,0.31,0.31,1.13,103.34,101,61.58,33.31,54.87,29.68,76.2,75.9,37.33,33.27,1.062,1.055,24.65,14.4,1.7,3.85
Copenhag,3,10,64,64,Hol,1,400,Green,1,136,171,237,13.8,20.9,19.1,14.39,16.43,17.97,NA,NA,NA,4.03,0.41,5.47,10.93,1.06,0.12,-0.023,42.8,7.77,0.017,0.32,0.38,0.35,1.23,127.11,101,58.56,26.58,52.18,23.68,65.1,60.4,29.57,26.35,0.851,0.867,24.65,20.19,1.58,4.14
Copenhag,3,10,65,65,Hol,1,401,Green,1,136,171,237,13.8,20.5,18.6,19.76,17.34,19.97,NA,NA,NA,4.37,0.27,3.24,21.13,0.93,-0.093,0.041,50,7.7,0.02,0.23,0.29,0.26,1.04,145.47,101,65.98,29.07,58.79,25.91,66.7,68,33.89,30.2,0.822,0.841,24.65,19.62,1.62,4.04
