id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at,updated_at
108,,"Location 15 (Savannah River Site4. South Carolina)",2,1,5,33.140300000,-81.677400000,,0.0000,,0.0000,0,0.019340766,0.327272702,96,2017-05-11,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
109,,"Location 16 (Savannah River Site5. South Carolina)",2,1,5,33.151100000,-81.680200000,,0.0000,,0.0000,0,0.024583490,0.328229932,96,2017-05-11,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
110,,"Location 13 (Savannah River Site2. South Carolina)",2,1,5,33.260100000,-81.714400000,,0.0000,,0.0000,0,0.010157424,0.225874737,96,2017-05-11,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
111,,"Location 12 (Savannah River Site1. South Carolina)",2,1,5,33.305500000,-81.703600000,,0.0000,,0.0000,0,0.015522344,0.229293414,96,2017-05-11,0,,"Temperate coniferous forests","2023-10-12 09:43:57",,teatime
112,,"Location 2 (North Augusta. South Carolina)",2,1,4,33.485100000,-81.979800000,,0.0000,,0.0000,0,0.011562831,0.221795115,91,2017-04-27,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
113,,"Location 1 (North Augusta. South Carolina)",2,1,4,33.491100000,-81.982400000,,0.0000,,0.0000,0,0.010299539,0.222820719,91,2017-04-27,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
114,,"Location 3 (Near Clarke Hill Lake. Georgia)",2,1,4,33.608800000,-82.520200000,,0.0000,,0.0000,0,0.010150912,0.219151338,91,2017-04-27,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
115,,"Location 26 (Oconee National Forest Site3. Georgia)",2,1,4,33.681200000,-83.288300000,,0.0000,,0.0000,0,0.018842001,0.238409887,90,2017-05-19,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
116,,"Location 25 (Oconee National Forest Site2. Georgia)",2,1,4,33.694200000,-83.285200000,,0.0000,,0.0000,0,0.019690629,0.225464496,90,2017-05-19,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
117,,"Location 29 (Whitehall forest site3. Georgia)",2,1,4,33.884600000,-83.357800000,,0.0000,,0.0000,0,0.016145875,0.190935856,90,2017-05-19,0,,"Temperate forests","2023-10-12 09:43:57",,teatime
