id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
71,,Wits Rural Facility,2,1,7,-24.5667,31.0985,,0,,0,0,0.00557545,0.497500035,92,6/6/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
72,,Wits Rural Facility,2,1,7,-24.5667,31.0985,,0,,0,0,0.009227283,0.228404558,86,9/6/17,0,,Tropical grasslands/shrubs,10/12/23 9:43
73,,Pacaya-Samiria National Reserve,2,1,1,-4.7006,-74.4103,,0,,0,0,0.086839028,0.377458884,8,7/28/18,0,,Tropical moist forests,10/12/23 9:43
74,,Pacaya-Samiria National Reserve,2,1,1,-4.7006,-74.4103,,0,,0,0,0.010345322,0.264642536,14,7/28/18,0,,Tropical moist forests,10/12/23 9:43
75,,Pacaya-Samiria National Reserve,2,1,1,-4.7006,-74.4103,,0,,0,0,0.026197615,0.228746426,22,7/28/18,0,,Tropical moist forests,10/12/23 9:43
76,,Urban Planter Yim Po Fong,2,1,1,22.3182,114.1734,,0,,0,0,0.007061883,0.140544554,61,12/7/17,0,,Tropical moist forests,10/12/23 9:43
77,,Urban Forest Tsui Tin Street,2,1,1,22.3707,114.1835,,0,,0,0,0.053847424,0.065333656,58,8/18/17,0,,Tropical moist forests,10/12/23 9:43
78,,Urban Forest Tsui Tin Street,2,1,1,22.3707,114.1835,,0,,0,0,0.01136193,0.439678808,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
79,,Urban Forest Yuen Chau Kok,2,1,0,22.382,114.1982,,0,,0,0,0.022924992,0.193534051,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
80,,Primary Forest Mui Tsz Lam,2,1,1,22.3932,114.2332,,0,,0,0,0.009301391,0.156498381,61,12/7/17,0,,Tropical moist forests,10/12/23 9:43
81,,Secondary Forest CUHK,2,1,0,22.4172,114.2048,,0,,0,0,0.014742782,0.311478414,61,12/7/17,0,,Tropical moist forests,10/12/23 9:43
82,,Farmland Ngo Dei,2,2,1,22.4205,114.0781,,0,,0,0,0.028716824,0.247663106,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
83,,Secondary Forest Tai Po Kau,2,1,1,22.4218,114.1739,,0,,0,0,0.020871652,0.41403873,61,12/7/17,0,,Tropical moist forests,10/12/23 9:43
84,,Farmland Mapopo,2,2,1,22.5027,114.1436,,0,,0,0,0,0.584972589,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
85,,Primary Forest Nam Chung,2,1,1,22.5165,114.2068,,0,,0,0,0,0.120032491,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
86,,Primary Forest Luk Keng,2,1,1,22.5215,114.2162,,0,,0,0,0.027735671,-0.074832109,58,8/18/17,0,,Tropical moist forests,10/12/23 9:43
87,,Primary Forest Luk Keng,2,1,1,22.5215,114.2162,,0,,0,0,0,0.456772194,64,11/28/17,0,,Tropical moist forests,10/12/23 9:43
88,,Termophilous tropical forest (1),2,2,12,28.388,-16.579,,0,,0,0,0.008006794,0.085845719,87,11/10/17,0,,Mediterranean woodland,10/12/23 9:43
89,,Termophilous tropical forest (1),2,1,12,28.388,-16.579,,0,,0,0,0.008212746,0.290966351,87,11/10/17,0,,Mediterranean woodland,10/12/23 9:43
90,,Location 24 (Eglin Air Force Base. Florida),2,1,5,30.6249,-86.5725,,0,,0,0,0.018896788,0.213157258,64,5/17/17,0,,Temperate coniferous forests,10/12/23 9:43
91,,Location 20 (Tall Timbers Site 2. Florida),2,1,5,30.6491,-84.2444,,0,,0,0,0.015396586,0.151586882,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
92,,Location 21 (Tall Timbers Site 3. Florida),2,1,5,30.6584,-84.2332,,0,,0,0,0.011155157,0.209772767,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
93,,Location 19 (Tall Timbers Site 1. Florida),2,1,5,30.6626,-84.2431,,0,,0,0,0.012087423,0.199961164,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
94,,Location 23 (Tall Timbers Site 5. Florida),2,1,5,30.6648,-84.2402,,0,,0,0,0.0123327,0.197682046,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
95,,Location 22 (Tall Timbers Site 4. Florida),2,1,5,30.6719,-84.237,,0,,0,0,0.013705484,0.21475264,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
96,,Yatir forest,2,1,13,31.3435,35.047,,0,,0,0,0.015123866,0.481865285,93,12/21/17,0,,Desert,10/12/23 9:43
97,,Migda,2,1,13,31.3529,34.5941,,0,,0,0,0.007914482,0.320038781,92,12/21/17,0,,Desert,10/12/23 9:43
98,,Lachish,2,1,12,31.5236,34.8695,,0,,0,0,0.017690504,0.313666367,85,12/19/17,0,,Mediterranean woodland,10/12/23 9:43
99,,Adulam,2,2,12,31.6493,34.9764,,0,,0,0,0.012776225,0.321857518,91,12/21/17,0,,Mediterranean woodland,10/12/23 9:43
100,,Rehovot farm - orchard,2,2,12,31.9058,34.8004,,0,,0,0,0.011760562,0.263428906,96,12/28/17,0,,Mediterranean woodland,10/12/23 9:43
101,,Rehovot farm - field,2,2,12,31.9077,34.8022,,0,,0,0,0.038675703,0.289585205,96,12/28/17,0,,Mediterranean woodland,10/12/23 9:43
102,,Nes-Ziona,2,1,12,31.933,34.7888,,0,,0,0,0.009800779,0.270693595,96,12/20/17,0,,Mediterranean woodland,10/12/23 9:43
103,,Location 18 (Georgia Veteran's State Park. Georgia),2,1,5,31.9555,-83.9048,,0,,0,0,0.01342635,0.196861563,66,5/15/17,0,,Temperate coniferous forests,10/12/23 9:43
